s1,s2,s3,s4,gesture,sample_id,t
3709,138,169,542,scissors,1,1
3634,126,168,484,scissors,1,2
3683,136,191,504,scissors,1,3
3682,140,197,489,scissors,1,4
3674,139,302,488,scissors,1,5
3694,132,177,487,scissors,1,6
3660,126,206,489,scissors,1,7
3679,124,186,520,scissors,1,8
3667,103,176,466,scissors,1,9
3680,136,174,528,scissors,1,10
3683,132,176,524,scissors,1,11
3684,122,164,520,scissors,1,12
3686,126,177,533,scissors,1,13
3679,135,189,525,scissors,1,14
3672,117,179,502,scissors,1,15
3707,139,146,492,scissors,1,16
3684,132,174,486,scissors,1,17
3682,137,183,478,scissors,1,18
3677,135,184,478,scissors,1,19
3681,192,169,466,scissors,1,20
3677,132,144,462,scissors,1,21
3669,118,189,456,scissors,1,22
3692,115,173,436,scissors,1,23
3681,76,167,432,scissors,1,24
3685,126,169,447,scissors,1,25
3769,130,170,491,scissors,1,26
3674,186,176,492,scissors,1,27
3679,128,167,531,scissors,1,28
3684,129,166,479,scissors,1,29
3681,93,180,478,scissors,1,30
3682,146,171,447,scissors,1,31
3692,129,169,460,scissors,1,32
3693,109,162,496,scissors,1,33
3653,106,186,464,scissors,1,34
3680,12,166,495,scissors,1,35
3680,131,168,500,scissors,1,36
3674,114,196,494,scissors,1,37
3682,128,169,509,scissors,1,38
3681,126,177,528,scissors,1,39
3682,126,174,524,scissors,1,40
3681,130,178,523,scissors,1,41
3672,122,227,514,scissors,1,42
3588,146,174,546,scissors,1,43
3528,130,179,579,scissors,1,44
3714,128,177,571,scissors,1,45
3667,116,186,565,scissors,1,46
3680,133,178,578,scissors,1,47
3684,124,175,568,scissors,1,48
3680,123,184,574,scissors,1,49
3694,110,179,568,scissors,1,50
3683,120,171,555,scissors,1,51
3701,106,196,550,scissors,1,52
3680,108,180,548,scissors,1,53
3677,130,175,537,scissors,1,54
3677,35,199,540,scissors,1,55
3694,114,268,541,scissors,1,56
3691,124,192,524,scissors,1,57
3685,121,180,571,scissors,1,58
3682,129,220,566,scissors,1,59
3687,112,185,556,scissors,1,60
3686,122,184,544,scissors,1,61
3695,125,161,539,scissors,1,62
3670,128,189,529,scissors,1,63
3684,123,188,494,scissors,1,64
3687,134,181,510,scissors,1,65
3685,116,188,498,scissors,1,66
3683,108,186,524,scissors,1,67
3676,112,183,528,scissors,1,68
3678,124,165,520,scissors,1,69
3655,120,201,525,scissors,1,70
3677,121,189,603,scissors,1,71
3706,128,189,512,scissors,1,72
3680,150,186,500,scissors,1,73
3682,100,188,499,scissors,1,74
3678,118,246,479,scissors,1,75
3666,115,184,479,scissors,1,76
3678,116,180,471,scissors,1,77
3673,116,184,464,scissors,1,78
3718,117,167,556,scissors,1,79
3682,119,184,554,scissors,1,80
3683,125,188,580,scissors,1,81
3686,121,191,588,scissors,1,82
