s1,s2,s3,s4,gesture,sample_id,t
117,605,140,104,paper,1,1
118,604,141,100,paper,1,2
119,603,145,103,paper,1,3
121,602,140,100,paper,1,4
118,604,144,100,paper,1,5
117,604,141,102,paper,1,6
119,606,143,100,paper,1,7
117,596,144,102,paper,1,8
119,604,143,101,paper,1,9
116,602,145,102,paper,1,10
117,603,142,98,paper,1,11
117,603,144,103,paper,1,12
116,599,143,100,paper,1,13
116,598,143,101,paper,1,14
116,599,142,99,paper,1,15
117,600,143,100,paper,1,16
117,598,141,99,paper,1,17
120,600,146,101,paper,1,18
112,595,144,100,paper,1,19
116,598,143,98,paper,1,20
116,599,143,102,paper,1,21
116,598,141,94,paper,1,22
117,601,145,102,paper,1,23
117,601,141,100,paper,1,24
120,600,147,102,paper,1,25
115,601,143,102,paper,1,26
117,600,145,99,paper,1,27
115,601,146,104,paper,1,28
118,603,142,102,paper,1,29
117,601,145,105,paper,1,30
118,602,142,101,paper,1,31
117,601,147,102,paper,1,32
117,602,147,102,paper,1,33
120,601,148,102,paper,1,34
116,602,148,105,paper,1,35
118,602,149,101,paper,1,36
115,599,149,103,paper,1,37
118,600,148,99,paper,1,38
116,600,150,104,paper,1,39
116,599,147,99,paper,1,40
118,604,150,102,paper,1,41
116,602,149,100,paper,1,42
116,597,148,102,paper,1,43
115,596,148,101,paper,1,44
117,597,148,100,paper,1,45
114,597,149,101,paper,1,46
116,599,144,101,paper,1,47
114,595,150,101,paper,1,48
117,602,148,100,paper,1,49
117,597,147,100,paper,1,50
112,591,145,99,paper,1,51
116,596,149,99,paper,1,52
114,594,147,102,paper,1,53
116,598,153,99,paper,1,54
115,599,151,102,paper,1,55
118,603,149,100,paper,1,56
118,600,154,102,paper,1,57
117,599,149,99,paper,1,58
117,597,152,101,paper,1,59
114,599,150,100,paper,1,60
117,599,152,102,paper,1,61
116,601,153,102,paper,1,62
117,596,150,98,paper,1,63
1128,578,134,182,paper,1,64
100,588,149,206,paper,1,65
114,593,146,208,paper,1,66
110,609,120,219,paper,1,67
144,588,129,223,paper,1,68
113,589,133,262,paper,1,69
128,582,115,266,paper,1,70
114,598,140,282,paper,1,71
108,592,130,267,paper,1,72
130,586,135,301,paper,1,73
100,601,117,286,paper,1,74
112,592,149,265,paper,1,75
112,606,125,272,paper,1,76
116,602,131,264,paper,1,77
113,591,133,264,paper,1,78
119,604,125,312,paper,1,79
113,606,126,274,paper,1,80
114,598,121,251,paper,1,81
88,578,131,247,paper,1,82
111,589,98,232,paper,1,83
169,603,129,336,paper,1,84
110,593,130,243,paper,1,85
118,605,124,212,paper,1,86
136,578,128,240,paper,1,87
116,600,128,238,paper,1,88
103,588,132,233,paper,1,89
113,588,98,229,paper,1,90
92,601,130,231,paper,1,91
112,598,120,235,paper,1,92
116,599,132,138,paper,1,93
112,603,139,227,paper,1,94
97,578,133,138,paper,1,95
117,594,132,229,paper,1,96
116,594,100,222,paper,1,97
130,576,125,222,paper,1,98
108,600,113,230,paper,1,99
107,587,157,212,paper,1,100
113,596,121,211,paper,1,101
115,593,130,210,paper,1,102
103,597,130,225,paper,1,103
126,603,133,214,paper,1,104
112,602,149,251,paper,1,105
109,594,128,222,paper,1,106
110,598,149,200,paper,1,107
112,598,128,205,paper,1,108
98,583,131,209,paper,1,109
124,601,134,202,paper,1,110
124,604,121,198,paper,1,111
112,590,121,209,paper,1,112
108,594,132,106,paper,1,113
100,592,128,190,paper,1,114
113,592,129,199,paper,1,115
106,595,126,189,paper,1,116
103,592,144,192,paper,1,117
115,592,133,197,paper,1,118
106,610,124,187,paper,1,119
119,565,130,187,paper,1,120
100,596,220,177,paper,1,121
73,586,128,188,paper,1,122
112,586,132,182,paper,1,123
120,591,153,172,paper,1,124
124,605,123,182,paper,1,125
104,583,132,168,paper,1,126
115,595,131,174,paper,1,127
112,574,145,184,paper,1,128
116,588,130,180,paper,1,129
99,586,123,182,paper,1,130
115,587,147,182,paper,1,131
112,591,128,192,paper,1,132
116,594,149,190,paper,1,133
106,580,153,187,paper,1,134
113,596,135,185,paper,1,135
129,586,40,186,paper,1,136
134,579,132,185,paper,1,137
120,626,132,181,paper,1,138
117,590,130,178,paper,1,139
109,592,129,192,paper,1,140
125,596,51,179,paper,1,141
70,592,126,178,paper,1,142
115,602,130,184,paper,1,143
113,585,131,170,paper,1,144
115,592,128,169,paper,1,145
129,587,129,176,paper,1,146
114,594,153,177,paper,1,147
124,597,222,188,paper,1,148
114,600,129,185,paper,1,149
117,603,130,190,paper,1,150
113,591,120,189,paper,1,151
119,597,123,208,paper,1,152
110,591,124,187,paper,1,153
125,592,133,193,paper,1,154
119,583,128,190,paper,1,155
113,598,124,182,paper,1,156
112,590,130,186,paper,1,157
110,597,119,165,paper,1,158
106,594,143,185,paper,1,159
118,583,136,178,paper,1,160
108,598,130,177,paper,1,161
126,603,142,174,paper,1,162
114,602,133,181,paper,1,163
112,595,130,175,paper,1,164
37,578,132,191,paper,1,165
112,588,120,196,paper,1,166
115,588,109,169,paper,1,167
111,592,152,166,paper,1,168
113,594,125,163,paper,1,169
113,590,154,174,paper,1,170
107,592,123,145,paper,1,171
8,570,133,154,paper,1,172
113,586,128,170,paper,1,173
134,576,130,168,paper,1,174
102,588,137,161,paper,1,175
117,589,149,164,paper,1,176
113,591,157,159,paper,1,177
114,589,128,184,paper,1,178
87,583,139,152,paper,1,179
120,591,119,164,paper,1,180
107,591,132,80,paper,1,181
110,593,134,163,paper,1,182
191,599,112,209,paper,1,183
114,594,109,167,paper,1,184
