s1,s2,s3,s4,gesture,sample_id,t
3509,110,171,182,scissors,1,1
3510,112,174,182,scissors,1,2
3511,110,177,178,scissors,1,3
3509,109,177,181,scissors,1,4
3513,110,174,179,scissors,1,5
3508,111,175,180,scissors,1,6
3511,107,175,176,scissors,1,7
3510,109,174,176,scissors,1,8
3511,108,172,173,scissors,1,9
3510,110,173,172,scissors,1,10
3508,109,173,177,scissors,1,11
3509,110,172,221,scissors,1,12
3506,109,171,222,scissors,1,13
3507,109,169,222,scissors,1,14
3508,112,170,224,scissors,1,15
3509,114,163,223,scissors,1,16
3508,111,167,225,scissors,1,17
3511,108,164,219,scissors,1,18
3512,110,166,220,scissors,1,19
3509,107,166,221,scissors,1,20
3511,110,167,220,scissors,1,21
3508,111,165,219,scissors,1,22
3510,106,167,217,scissors,1,23
3509,111,165,217,scissors,1,24
3513,109,163,211,scissors,1,25
3516,112,165,209,scissors,1,26
3513,108,164,204,scissors,1,27
3513,110,164,205,scissors,1,28
3511,110,162,201,scissors,1,29
3509,110,162,196,scissors,1,30
3507,109,163,196,scissors,1,31
3511,109,163,192,scissors,1,32
3509,110,161,191,scissors,1,33
3508,109,159,189,scissors,1,34
3508,110,165,187,scissors,1,35
3509,109,165,187,scissors,1,36
3510,113,165,198,scissors,1,37
3506,110,163,186,scissors,1,38
3511,111,166,184,scissors,1,39
3514,110,163,181,scissors,1,40
3515,111,162,179,scissors,1,41
3513,111,162,179,scissors,1,42
3513,108,161,177,scissors,1,43
3513,113,157,177,scissors,1,44
3511,109,160,174,scissors,1,45
3515,112,161,176,scissors,1,46
3515,109,158,174,scissors,1,47
3512,111,160,170,scissors,1,48
3509,109,157,170,scissors,1,49
3517,111,158,167,scissors,1,50
3511,111,161,166,scissors,1,51
3513,112,162,164,scissors,1,52
3513,111,167,161,scissors,1,53
3513,108,169,163,scissors,1,54
3514,111,164,163,scissors,1,55
3514,109,162,157,scissors,1,56
3511,110,164,158,scissors,1,57
3509,110,162,157,scissors,1,58
3517,115,162,156,scissors,1,59
3514,111,162,153,scissors,1,60
3513,110,158,152,scissors,1,61
3511,111,160,151,scissors,1,62
3513,107,158,150,scissors,1,63
3517,111,154,147,scissors,1,64
3513,111,157,146,scissors,1,65
3512,111,159,148,scissors,1,66
3512,111,158,146,scissors,1,67
3517,101,157,141,scissors,1,68
3514,101,162,143,scissors,1,69
3515,109,155,139,scissors,1,70
3516,111,157,140,scissors,1,71
3516,109,153,137,scissors,1,72
