s1,s2,s3,s4,gesture,sample_id,t
244,122,394,182,scissors,1,1
244,101,390,182,scissors,1,2
246,100,386,180,scissors,1,3
241,100,386,183,scissors,1,4
243,100,382,176,scissors,1,5
244,101,383,178,scissors,1,6
244,101,376,179,scissors,1,7
243,102,374,180,scissors,1,8
244,100,369,178,scissors,1,9
251,102,369,180,scissors,1,10
248,101,363,179,scissors,1,11
249,102,373,175,scissors,1,12
243,100,362,180,scissors,1,13
249,101,360,177,scissors,1,14
246,102,361,180,scissors,1,15
245,100,360,175,scissors,1,16
242,100,361,178,scissors,1,17
245,100,356,173,scissors,1,18
242,101,352,179,scissors,1,19
238,99,353,178,scissors,1,20
238,101,351,176,scissors,1,21
240,106,348,179,scissors,1,22
241,101,346,175,scissors,1,23
237,101,342,177,scissors,1,24
237,99,340,175,scissors,1,25
232,102,345,176,scissors,1,26
232,101,343,175,scissors,1,27
236,102,347,177,scissors,1,28
238,100,344,178,scissors,1,29
248,101,343,171,scissors,1,30
253,100,346,177,scissors,1,31
261,102,355,173,scissors,1,32
257,101,359,176,scissors,1,33
262,100,358,174,scissors,1,34
267,102,356,174,scissors,1,35
274,101,352,173,scissors,1,36
272,101,352,176,scissors,1,37
268,99,347,174,scissors,1,38
268,101,348,176,scissors,1,39
262,100,346,174,scissors,1,40
264,100,345,172,scissors,1,41
261,102,345,176,scissors,1,42
262,102,344,174,scissors,1,43
260,103,347,176,scissors,1,44
257,100,341,174,scissors,1,45
257,104,342,176,scissors,1,46
260,101,338,176,scissors,1,47
258,101,336,173,scissors,1,48
253,101,333,177,scissors,1,49
253,100,332,179,scissors,1,50
251,101,332,183,scissors,1,51
251,99,333,182,scissors,1,52
248,103,335,183,scissors,1,53
246,99,333,188,scissors,1,54
246,102,334,183,scissors,1,55
244,101,329,182,scissors,1,56
243,101,332,180,scissors,1,57
241,100,330,185,scissors,1,58
253,101,328,182,scissors,1,59
258,102,327,182,scissors,1,60
247,100,322,178,scissors,1,61
244,102,324,182,scissors,1,62
245,100,318,184,scissors,1,63
246,102,322,190,scissors,1,64
245,100,329,189,scissors,1,65
247,101,328,187,scissors,1,66
252,102,327,188,scissors,1,67
250,100,325,184,scissors,1,68
247,101,322,187,scissors,1,69
247,100,322,185,scissors,1,70
250,103,320,187,scissors,1,71
248,100,322,186,scissors,1,72
246,102,329,187,scissors,1,73
242,100,327,185,scissors,1,74
247,102,328,184,scissors,1,75
241,100,329,184,scissors,1,76
244,102,330,182,scissors,1,77
247,100,328,177,scissors,1,78
252,100,324,186,scissors,1,79
252,101,322,184,scissors,1,80
252,99,320,181,scissors,1,81
253,103,320,182,scissors,1,82
264,99,320,184,scissors,1,83
273,101,320,182,scissors,1,84
