s1,s2,s3,s4,gesture,sample_id,t
118,109,310,640,scissors,1,1
119,108,309,638,scissors,1,2
122,108,311,645,scissors,1,3
120,108,308,631,scissors,1,4
119,108,309,634,scissors,1,5
120,107,307,633,scissors,1,6
120,108,306,623,scissors,1,7
129,109,306,624,scissors,1,8
120,109,308,628,scissors,1,9
118,110,305,622,scissors,1,10
121,110,303,631,scissors,1,11
120,111,304,624,scissors,1,12
122,108,311,640,scissors,1,13
120,110,317,644,scissors,1,14
123,110,325,649,scissors,1,15
120,109,329,648,scissors,1,16
117,106,328,647,scissors,1,17
121,112,332,656,scissors,1,18
119,108,333,662,scissors,1,19
122,112,334,668,scissors,1,20
119,109,330,653,scissors,1,21
120,108,327,654,scissors,1,22
118,109,329,649,scissors,1,23
118,107,330,658,scissors,1,24
121,108,335,665,scissors,1,25
117,108,334,671,scissors,1,26
121,109,333,662,scissors,1,27
118,108,330,654,scissors,1,28
120,109,327,660,scissors,1,29
119,109,326,660,scissors,1,30
120,108,322,641,scissors,1,31
119,110,320,640,scissors,1,32
119,106,318,646,scissors,1,33
119,109,323,644,scissors,1,34
117,107,320,636,scissors,1,35
121,109,321,637,scissors,1,36
118,109,320,638,scissors,1,37
121,108,321,638,scissors,1,38
118,108,326,658,scissors,1,39
119,107,327,656,scissors,1,40
120,109,328,649,scissors,1,41
118,112,327,656,scissors,1,42
121,110,328,647,scissors,1,43
118,107,327,658,scissors,1,44
121,109,327,660,scissors,1,45
98,109,326,657,scissors,1,46
121,109,316,641,scissors,1,47
119,109,320,641,scissors,1,48
125,111,318,646,scissors,1,49
128,111,319,648,scissors,1,50
128,109,315,638,scissors,1,51
129,110,320,642,scissors,1,52
128,109,318,648,scissors,1,53
131,106,320,638,scissors,1,54
128,110,316,642,scissors,1,55
130,110,315,634,scissors,1,56
125,107,313,635,scissors,1,57
128,108,310,643,scissors,1,58
128,110,312,633,scissors,1,59
125,106,315,632,scissors,1,60
126,109,314,633,scissors,1,61
123,107,314,634,scissors,1,62
150,94,574,767,scissors,1,63
132,109,559,758,scissors,1,64
135,99,568,753,scissors,1,65
138,107,567,759,scissors,1,66
133,118,563,746,scissors,1,67
162,108,552,728,scissors,1,68
132,106,546,739,scissors,1,69
132,112,563,747,scissors,1,70
160,97,568,746,scissors,1,71
118,103,419,710,scissors,1,72
148,103,569,752,scissors,1,73
156,95,591,778,scissors,1,74
130,42,592,779,scissors,1,75
133,104,629,805,scissors,1,76
128,104,585,770,scissors,1,77
133,99,596,783,scissors,1,78
74,124,598,790,scissors,1,79
120,101,580,768,scissors,1,80
138,119,596,789,scissors,1,81
103,101,582,772,scissors,1,82
136,104,562,765,scissors,1,83
132,101,608,780,scissors,1,84
133,104,584,764,scissors,1,85
118,106,580,765,scissors,1,86
160,104,572,761,scissors,1,87
121,107,591,776,scissors,1,88
237,78,561,739,scissors,1,89
133,104,561,736,scissors,1,90
125,108,551,747,scissors,1,91
113,104,610,769,scissors,1,92
118,102,692,784,scissors,1,93
132,101,579,763,scissors,1,94
124,104,605,796,scissors,1,95
118,101,766,850,scissors,1,96
129,188,659,794,scissors,1,97
126,106,701,810,scissors,1,98
125,104,694,804,scissors,1,99
128,106,681,794,scissors,1,100
100,104,707,815,scissors,1,101
132,109,741,848,scissors,1,102
113,106,733,856,scissors,1,103
120,101,712,833,scissors,1,104
110,99,730,841,scissors,1,105
124,113,691,819,scissors,1,106
105,104,750,860,scissors,1,107
124,90,713,834,scissors,1,108
128,75,707,818,scissors,1,109
118,106,695,826,scissors,1,110
174,102,690,805,scissors,1,111
130,130,668,788,scissors,1,112
149,113,674,784,scissors,1,113
133,105,664,776,scissors,1,114
148,97,669,795,scissors,1,115
134,104,653,781,scissors,1,116
147,101,671,779,scissors,1,117
113,119,662,781,scissors,1,118
124,106,660,766,scissors,1,119
150,122,659,774,scissors,1,120
145,102,674,788,scissors,1,121
111,106,663,791,scissors,1,122
144,105,675,785,scissors,1,123
137,105,685,804,scissors,1,124
145,103,680,791,scissors,1,125
142,108,668,788,scissors,1,126
115,104,736,822,scissors,1,127
156,106,667,778,scissors,1,128
141,104,682,783,scissors,1,129
136,106,658,770,scissors,1,130
148,99,736,804,scissors,1,131
136,114,645,766,scissors,1,132
150,105,629,794,scissors,1,133
138,101,591,807,scissors,1,134
136,102,640,767,scissors,1,135
138,114,616,808,scissors,1,136
131,105,600,788,scissors,1,137
138,101,610,800,scissors,1,138
151,104,609,797,scissors,1,139
234,104,600,787,scissors,1,140
137,108,599,808,scissors,1,141
134,108,613,802,scissors,1,142
155,113,571,771,scissors,1,143
140,113,604,787,scissors,1,144
140,108,599,788,scissors,1,145
122,102,739,821,scissors,1,146
134,102,588,787,scissors,1,147
132,102,604,790,scissors,1,148
132,126,571,762,scissors,1,149
136,84,589,765,scissors,1,150
150,104,581,759,scissors,1,151
164,105,567,756,scissors,1,152
132,118,555,739,scissors,1,153
133,103,544,727,scissors,1,154
124,110,561,735,scissors,1,155
136,112,536,724,scissors,1,156
132,102,562,735,scissors,1,157
136,92,556,730,scissors,1,158
132,102,552,726,scissors,1,159
145,89,550,738,scissors,1,160
132,0,559,727,scissors,1,161
121,112,580,749,scissors,1,162
153,93,549,727,scissors,1,163
162,99,526,717,scissors,1,164
136,103,535,725,scissors,1,165
138,104,529,712,scissors,1,166
140,100,506,753,scissors,1,167
153,124,520,708,scissors,1,168
131,73,539,714,scissors,1,169
146,104,528,728,scissors,1,170
136,97,532,717,scissors,1,171
124,100,532,729,scissors,1,172
137,99,518,713,scissors,1,173
120,105,531,713,scissors,1,174
136,91,548,718,scissors,1,175
119,128,522,694,scissors,1,176
125,108,566,738,scissors,1,177
132,104,497,752,scissors,1,178
152,94,506,757,scissors,1,179
144,82,496,739,scissors,1,180
220,93,507,756,scissors,1,181
152,104,517,721,scissors,1,182
153,115,514,710,scissors,1,183
160,94,503,737,scissors,1,184
150,97,520,710,scissors,1,185
115,112,545,725,scissors,1,186
152,105,553,737,scissors,1,187
147,101,548,730,scissors,1,188
164,105,546,735,scissors,1,189
148,105,530,705,scissors,1,190
168,100,546,724,scissors,1,191
149,91,553,740,scissors,1,192
160,169,543,735,scissors,1,193
145,103,544,718,scissors,1,194
154,103,505,749,scissors,1,195
132,116,554,739,scissors,1,196
156,104,560,741,scissors,1,197
152,105,605,781,scissors,1,198
143,104,557,749,scissors,1,199
152,106,571,746,scissors,1,200
152,88,554,740,scissors,1,201
136,105,566,759,scissors,1,202
166,109,574,761,scissors,1,203
172,90,557,751,scissors,1,204
146,103,572,748,scissors,1,205
153,66,565,740,scissors,1,206
147,124,571,756,scissors,1,207
148,103,571,750,scissors,1,208
139,106,568,744,scissors,1,209
234,118,565,761,scissors,1,210
145,104,572,752,scissors,1,211
146,94,572,749,scissors,1,212
134,100,570,738,scissors,1,213
143,120,569,735,scissors,1,214
140,122,548,736,scissors,1,215
161,103,538,728,scissors,1,216
146,117,518,722,scissors,1,217
141,102,537,715,scissors,1,218
141,104,562,739,scissors,1,219
132,104,567,758,scissors,1,220
139,105,593,774,scissors,1,221
126,98,598,786,scissors,1,222
138,105,605,794,scissors,1,223
130,104,588,777,scissors,1,224
136,104,594,782,scissors,1,225
149,100,588,778,scissors,1,226
132,88,610,777,scissors,1,227
99,104,594,779,scissors,1,228
152,98,595,786,scissors,1,229
148,105,580,768,scissors,1,230
157,104,636,811,scissors,1,231
164,104,602,796,scissors,1,232
162,91,633,802,scissors,1,233
157,112,634,819,scissors,1,234
155,103,616,800,scissors,1,235
196,119,623,808,scissors,1,236
154,100,620,805,scissors,1,237
120,107,624,804,scissors,1,238
183,80,627,820,scissors,1,239
155,81,628,811,scissors,1,240
113,97,646,784,scissors,1,241
151,105,613,809,scissors,1,242
163,104,612,791,scissors,1,243
149,106,607,809,scissors,1,244
147,101,631,813,scissors,1,245
158,98,705,797,scissors,1,246
162,112,591,784,scissors,1,247
148,99,590,781,scissors,1,248
147,106,566,758,scissors,1,249
131,115,601,767,scissors,1,250
148,100,582,762,scissors,1,251
146,104,561,739,scissors,1,252
168,98,561,738,scissors,1,253
152,76,550,733,scissors,1,254
163,100,540,725,scissors,1,255
158,111,567,750,scissors,1,256
154,105,584,754,scissors,1,257
163,41,596,776,scissors,1,258
162,104,607,814,scissors,1,259
151,106,648,753,scissors,1,260
158,109,644,764,scissors,1,261
152,109,644,757,scissors,1,262
158,105,668,779,scissors,1,263
157,105,704,803,scissors,1,264
167,129,699,816,scissors,1,265
115,102,692,801,scissors,1,266
175,98,696,800,scissors,1,267
163,91,688,798,scissors,1,268
156,132,678,799,scissors,1,269
171,103,681,788,scissors,1,270
148,113,671,787,scissors,1,271
156,108,589,780,scissors,1,272
157,104,645,757,scissors,1,273
160,105,651,756,scissors,1,274
156,104,653,767,scissors,1,275
158,100,622,821,scissors,1,276
158,49,655,783,scissors,1,277
155,104,633,814,scissors,1,278
166,92,635,805,scissors,1,279
154,95,619,811,scissors,1,280
154,108,616,806,scissors,1,281
208,103,607,810,scissors,1,282
154,99,606,784,scissors,1,283
151,92,593,772,scissors,1,284
151,104,612,782,scissors,1,285
178,103,560,750,scissors,1,286
151,92,583,776,scissors,1,287
161,108,575,751,scissors,1,288
154,107,582,772,scissors,1,289
141,104,599,790,scissors,1,290
139,104,601,789,scissors,1,291
148,126,604,786,scissors,1,292
138,104,610,788,scissors,1,293
136,100,483,762,scissors,1,294
144,103,587,783,scissors,1,295
145,76,586,781,scissors,1,296
175,93,615,804,scissors,1,297
147,114,598,783,scissors,1,298
174,103,594,776,scissors,1,299
148,105,607,790,scissors,1,300
148,115,566,760,scissors,1,301
132,106,573,762,scissors,1,302
143,103,566,753,scissors,1,303
152,96,562,738,scissors,1,304
147,91,560,734,scissors,1,305
130,87,525,721,scissors,1,306
150,100,572,738,scissors,1,307
138,104,544,726,scissors,1,308
152,103,546,722,scissors,1,309
140,104,536,712,scissors,1,310
132,105,529,703,scissors,1,311
143,166,512,705,scissors,1,312
154,100,512,690,scissors,1,313
138,100,523,730,scissors,1,314
116,105,533,712,scissors,1,315
137,105,571,744,scissors,1,316
146,131,563,742,scissors,1,317
134,109,560,740,scissors,1,318
136,92,534,737,scissors,1,319
134,96,570,754,scissors,1,320
134,94,587,764,scissors,1,321
144,94,578,770,scissors,1,322
140,103,556,745,scissors,1,323
150,92,572,746,scissors,1,324
124,74,570,763,scissors,1,325
219,90,566,746,scissors,1,326
138,102,565,754,scissors,1,327
138,115,556,737,scissors,1,328
136,108,523,734,scissors,1,329
164,89,546,723,scissors,1,330
154,116,533,722,scissors,1,331
140,100,527,712,scissors,1,332
142,110,537,719,scissors,1,333
148,128,533,715,scissors,1,334
136,106,527,714,scissors,1,335
136,95,522,701,scissors,1,336
135,104,521,692,scissors,1,337
147,98,579,735,scissors,1,338
134,103,512,695,scissors,1,339
145,98,477,720,scissors,1,340
137,104,523,705,scissors,1,341
132,102,474,731,scissors,1,342
124,104,502,759,scissors,1,343
230,105,522,703,scissors,1,344
134,91,520,705,scissors,1,345
153,103,520,697,scissors,1,346
130,72,526,717,scissors,1,347
137,107,517,706,scissors,1,348
130,76,512,707,scissors,1,349
136,130,512,691,scissors,1,350
152,72,504,745,scissors,1,351
138,106,433,717,scissors,1,352
124,89,490,750,scissors,1,353
126,104,469,733,scissors,1,354
126,108,480,723,scissors,1,355
129,105,483,736,scissors,1,356
131,96,447,715,scissors,1,357
122,105,469,731,scissors,1,358
128,195,465,720,scissors,1,359
130,105,493,737,scissors,1,360
129,104,457,710,scissors,1,361
140,118,452,714,scissors,1,362
128,96,454,719,scissors,1,363
100,110,500,764,scissors,1,364
119,107,501,765,scissors,1,365
130,108,517,726,scissors,1,366
138,103,506,757,scissors,1,367
128,104,500,751,scissors,1,368
51,102,490,755,scissors,1,369
128,109,507,761,scissors,1,370
139,107,522,715,scissors,1,371
117,88,529,720,scissors,1,372
129,106,541,715,scissors,1,373
129,105,529,711,scissors,1,374
137,104,541,726,scissors,1,375
117,113,570,740,scissors,1,376
122,104,540,724,scissors,1,377
129,74,540,719,scissors,1,378
237,101,517,703,scissors,1,379
139,94,610,757,scissors,1,380
162,114,542,746,scissors,1,381
152,92,547,722,scissors,1,382
106,114,553,721,scissors,1,383
126,197,544,739,scissors,1,384
128,106,560,734,scissors,1,385
123,97,527,717,scissors,1,386
124,105,526,707,scissors,1,387
125,104,507,733,scissors,1,388
128,90,554,724,scissors,1,389
123,99,553,728,scissors,1,390
143,104,572,763,scissors,1,391
154,92,557,753,scissors,1,392
128,121,581,770,scissors,1,393
125,104,553,747,scissors,1,394
119,104,614,794,scissors,1,395
176,104,584,758,scissors,1,396
121,87,589,781,scissors,1,397
139,93,588,785,scissors,1,398
123,105,584,764,scissors,1,399
108,132,576,765,scissors,1,400
121,111,576,759,scissors,1,401
136,112,560,741,scissors,1,402
132,105,588,764,scissors,1,403
132,103,540,733,scissors,1,404
141,106,573,752,scissors,1,405
132,73,585,744,scissors,1,406
112,101,600,773,scissors,1,407
122,103,577,760,scissors,1,408
149,89,587,765,scissors,1,409
129,85,574,762,scissors,1,410
132,102,587,765,scissors,1,411
123,99,580,769,scissors,1,412
130,105,583,772,scissors,1,413
49,119,578,763,scissors,1,414
116,100,447,744,scissors,1,415
135,97,570,752,scissors,1,416
118,108,576,756,scissors,1,417
96,104,588,768,scissors,1,418
125,103,572,759,scissors,1,419
128,113,585,770,scissors,1,420
128,100,602,781,scissors,1,421
94,90,622,811,scissors,1,422
128,110,607,812,scissors,1,423
133,104,611,806,scissors,1,424
141,107,605,796,scissors,1,425
124,105,638,814,scissors,1,426
130,105,618,809,scissors,1,427
125,104,634,812,scissors,1,428
126,104,565,773,scissors,1,429
115,101,593,780,scissors,1,430
131,104,607,794,scissors,1,431
129,115,583,774,scissors,1,432
125,107,577,749,scissors,1,433
199,99,580,759,scissors,1,434
134,107,570,764,scissors,1,435
126,101,599,790,scissors,1,436
118,102,606,805,scissors,1,437
132,108,608,786,scissors,1,438
120,91,608,780,scissors,1,439
128,114,601,797,scissors,1,440
124,107,600,786,scissors,1,441
128,83,607,796,scissors,1,442
124,115,594,778,scissors,1,443
125,105,596,786,scissors,1,444
