s1,s2,s3,s4,gesture,sample_id,t
571,369,957,612,scissors,1,1
566,366,967,632,scissors,1,2
570,362,951,641,scissors,1,3
574,362,952,631,scissors,1,4
566,355,946,625,scissors,1,5
566,358,956,617,scissors,1,6
559,360,945,610,scissors,1,7
555,360,946,601,scissors,1,8
547,356,951,589,scissors,1,9
543,355,946,584,scissors,1,10
542,353,939,576,scissors,1,11
540,349,946,565,scissors,1,12
531,350,946,565,scissors,1,13
547,348,942,557,scissors,1,14
561,347,935,556,scissors,1,15
577,341,941,550,scissors,1,16
586,342,942,542,scissors,1,17
575,345,932,542,scissors,1,18
591,346,936,536,scissors,1,19
604,371,958,536,scissors,1,20
607,352,938,541,scissors,1,21
603,350,952,554,scissors,1,22
594,344,935,571,scissors,1,23
592,350,948,589,scissors,1,24
583,342,940,595,scissors,1,25
578,339,930,591,scissors,1,26
568,336,922,598,scissors,1,27
564,331,923,628,scissors,1,28
554,329,916,628,scissors,1,29
552,326,924,636,scissors,1,30
544,325,921,632,scissors,1,31
538,320,903,628,scissors,1,32
531,318,914,618,scissors,1,33
528,316,916,617,scissors,1,34
524,321,908,609,scissors,1,35
516,334,930,599,scissors,1,36
512,332,924,617,scissors,1,37
522,349,945,612,scissors,1,38
524,376,961,602,scissors,1,39
518,381,970,595,scissors,1,40
513,372,965,590,scissors,1,41
512,370,956,589,scissors,1,42
507,365,963,597,scissors,1,43
505,362,947,591,scissors,1,44
502,358,953,590,scissors,1,45
501,360,945,586,scissors,1,46
497,364,955,572,scissors,1,47
491,365,959,560,scissors,1,48
492,365,959,556,scissors,1,49
490,351,949,548,scissors,1,50
482,360,946,545,scissors,1,51
472,350,945,539,scissors,1,52
468,346,934,545,scissors,1,53
461,348,941,543,scissors,1,54
461,351,950,535,scissors,1,55
456,347,933,530,scissors,1,56
453,348,937,523,scissors,1,57
450,346,930,526,scissors,1,58
451,343,939,532,scissors,1,59
471,343,940,531,scissors,1,60
489,339,931,533,scissors,1,61
506,331,923,534,scissors,1,62
502,333,929,537,scissors,1,63
502,335,932,537,scissors,1,64
492,328,917,533,scissors,1,65
489,323,913,537,scissors,1,66
484,322,909,550,scissors,1,67
483,318,914,549,scissors,1,68
472,318,916,541,scissors,1,69
470,318,917,545,scissors,1,70
467,327,927,545,scissors,1,71
469,341,934,562,scissors,1,72
470,339,929,560,scissors,1,73
466,338,923,557,scissors,1,74
463,333,926,552,scissors,1,75
459,331,920,548,scissors,1,76
454,326,919,539,scissors,1,77
449,326,922,533,scissors,1,78
443,320,904,526,scissors,1,79
219,186,852,304,scissors,1,80
218,271,865,284,scissors,1,81
220,170,843,302,scissors,1,82
210,176,845,297,scissors,1,83
149,164,846,229,scissors,1,84
216,153,829,352,scissors,1,85
248,219,884,337,scissors,1,86
241,187,856,364,scissors,1,87
204,185,852,400,scissors,1,88
222,186,853,407,scissors,1,89
226,178,860,417,scissors,1,90
247,193,865,425,scissors,1,91
245,186,856,428,scissors,1,92
229,186,856,430,scissors,1,93
223,198,870,362,scissors,1,94
270,186,864,410,scissors,1,95
228,182,862,366,scissors,1,96
226,204,863,406,scissors,1,97
236,176,846,420,scissors,1,98
226,180,858,401,scissors,1,99
227,144,832,396,scissors,1,100
256,179,851,386,scissors,1,101
231,177,845,374,scissors,1,102
196,180,849,365,scissors,1,103
221,174,855,382,scissors,1,104
218,177,842,369,scissors,1,105
223,185,851,365,scissors,1,106
223,173,857,366,scissors,1,107
216,144,826,344,scissors,1,108
227,194,854,331,scissors,1,109
222,177,849,366,scissors,1,110
202,172,849,318,scissors,1,111
230,166,848,355,scissors,1,112
226,175,860,343,scissors,1,113
205,174,852,324,scissors,1,114
258,170,841,336,scissors,1,115
230,174,844,330,scissors,1,116
