s1,s2,s3,s4,gesture,sample_id,t
146,184,178,189,paper,1,1
146,185,179,189,paper,1,2
143,183,178,184,paper,1,3
145,185,180,185,paper,1,4
142,184,181,185,paper,1,5
144,184,183,180,paper,1,6
143,186,185,185,paper,1,7
145,180,184,182,paper,1,8
146,192,184,182,paper,1,9
146,182,181,181,paper,1,10
148,184,184,178,paper,1,11
147,183,182,178,paper,1,12
150,185,182,181,paper,1,13
148,186,185,181,paper,1,14
148,182,185,178,paper,1,15
144,182,182,179,paper,1,16
146,182,181,174,paper,1,17
146,179,184,177,paper,1,18
146,184,180,174,paper,1,19
146,184,183,174,paper,1,20
146,183,180,173,paper,1,21
147,185,182,172,paper,1,22
146,184,183,172,paper,1,23
146,183,183,170,paper,1,24
145,183,181,175,paper,1,25
147,183,182,173,paper,1,26
148,185,187,178,paper,1,27
147,182,184,178,paper,1,28
147,185,184,177,paper,1,29
144,182,182,175,paper,1,30
145,182,182,173,paper,1,31
143,181,181,174,paper,1,32
147,182,182,174,paper,1,33
144,185,180,179,paper,1,34
147,184,184,181,paper,1,35
146,186,186,186,paper,1,36
145,182,177,182,paper,1,37
145,184,185,180,paper,1,38
144,182,183,179,paper,1,39
146,183,188,177,paper,1,40
144,183,182,179,paper,1,41
145,182,182,175,paper,1,42
143,181,182,176,paper,1,43
144,182,182,172,paper,1,44
144,183,183,174,paper,1,45
144,183,181,172,paper,1,46
144,185,183,173,paper,1,47
144,182,180,172,paper,1,48
145,183,181,171,paper,1,49
143,181,182,169,paper,1,50
142,181,177,166,paper,1,51
142,184,180,169,paper,1,52
144,184,180,161,paper,1,53
143,184,179,168,paper,1,54
145,181,177,160,paper,1,55
142,182,178,165,paper,1,56
142,182,176,165,paper,1,57
144,184,177,166,paper,1,58
141,181,176,165,paper,1,59
143,183,178,165,paper,1,60
144,174,177,164,paper,1,61
144,186,177,164,paper,1,62
143,179,178,164,paper,1,63
141,182,172,162,paper,1,64
142,185,177,160,paper,1,65
140,182,174,160,paper,1,66
142,183,175,160,paper,1,67
140,181,176,160,paper,1,68
144,182,174,158,paper,1,69
142,180,175,160,paper,1,70
143,183,176,157,paper,1,71
144,184,177,160,paper,1,72
142,181,175,155,paper,1,73
141,182,174,157,paper,1,74
140,181,174,154,paper,1,75
134,183,175,153,paper,1,76
140,183,174,154,paper,1,77
141,184,172,152,paper,1,78
139,184,173,151,paper,1,79
143,186,176,154,paper,1,80
141,184,179,161,paper,1,81
142,182,179,158,paper,1,82
142,184,183,160,paper,1,83
139,181,181,161,paper,1,84
139,183,180,160,paper,1,85
138,184,180,160,paper,1,86
142,182,181,164,paper,1,87
140,184,182,176,paper,1,88
129,377,154,458,paper,1,89
144,360,151,454,paper,1,90
158,359,156,433,paper,1,91
138,355,249,457,paper,1,92
136,357,99,468,paper,1,93
138,375,152,487,paper,1,94
139,356,160,479,paper,1,95
140,355,155,478,paper,1,96
141,345,156,476,paper,1,97
138,279,164,470,paper,1,98
134,357,156,466,paper,1,99
138,344,156,461,paper,1,100
141,324,156,453,paper,1,101
139,336,158,463,paper,1,102
144,338,206,440,paper,1,103
142,349,157,440,paper,1,104
147,350,157,435,paper,1,105
145,350,158,445,paper,1,106
140,352,164,438,paper,1,107
151,350,136,437,paper,1,108
135,357,157,432,paper,1,109
146,362,149,480,paper,1,110
138,373,168,423,paper,1,111
135,373,160,424,paper,1,112
144,403,96,437,paper,1,113
139,405,138,445,paper,1,114
149,425,156,462,paper,1,115
135,400,160,459,paper,1,116
137,385,157,471,paper,1,117
137,403,160,458,paper,1,118
135,386,157,451,paper,1,119
134,395,162,439,paper,1,120
126,379,164,451,paper,1,121
138,379,163,446,paper,1,122
142,380,156,437,paper,1,123
138,372,167,453,paper,1,124
140,368,157,461,paper,1,125
140,366,139,448,paper,1,126
134,408,176,464,paper,1,127
138,358,152,449,paper,1,128
135,344,153,450,paper,1,129
147,344,149,445,paper,1,130
138,353,156,446,paper,1,131
141,346,157,440,paper,1,132
140,342,161,438,paper,1,133
137,351,150,424,paper,1,134
136,352,157,404,paper,1,135
136,335,169,430,paper,1,136
146,345,158,427,paper,1,137
140,343,157,421,paper,1,138
144,366,154,416,paper,1,139
144,350,157,409,paper,1,140
140,339,156,413,paper,1,141
143,346,161,404,paper,1,142
138,346,164,417,paper,1,143
144,372,142,400,paper,1,144
138,370,137,397,paper,1,145
143,378,156,386,paper,1,146
144,368,142,385,paper,1,147
142,359,144,374,paper,1,148
142,366,154,378,paper,1,149
